PerNo,PerStatus
1,1
3,1
7,1
15,0
16,0
18,1
19,0
22,1
23,1
24,1
26,1
31,1
34,0
35,1
40,1
41,1
43,1
45,1
51,1
55,0
56,1
57,0
59,0
62,0
65,0
68,0
69,0
71,1
72,0
73,0
78,0
80,0
84,1
85,1
87,1
89,0
96,1
98,1
100,0
102,0
107,0
109,1
112,1
113,1
118,1
120,0
121,1
128,0
133,1
135,0
137,1
138,0
140,1
143,1
145,1
146,1
147,1
150,0
153,0
155,1
158,1
159,1
160,0
162,0
163,0
165,1
169,0
170,0
171,1
177,0
179,0
186,0
194,0
195,1
197,0
203,0
204,0
206,1
210,0
212,0
214,0
220,1
224,0
227,1
235,0
238,1
241,1
243,1
244,0
245,1
249,1
252,1
259,1
260,0
266,1
267,0
269,1
271,1
272,1
273,0
274,1
276,1
281,1
282,1
283,1
287,1
289,1
290,0
291,0
294,0
302,1
303,0
306,0
309,0
311,1
313,1
318,0
321,0
322,1
325,0
327,1
332,1
333,1
334,1
338,0
339,1
341,1
342,1
343,0
344,0
345,1
349,1
350,0
352,1
353,0
355,0
358,0
361,1
364,1
365,1
366,0
368,0
369,1
372,1
376,0
377,0
378,1
379,1
380,0
382,1
385,1
387,0
389,0
392,1
394,0
398,0
402,1
403,0
405,1
408,1
410,1
412,1
413,1
414,0
421,0
424,1
425,0
426,0
429,0
430,1
435,1
438,1
439,1
447,1
448,1
452,1
455,1
456,1
458,1
462,0
465,0
468,1
469,0
470,1
471,0
475,1
477,1
478,1
479,0
484,1
488,0
489,1
494,1
496,1
498,1
499,0
503,1
505,0
508,0
514,0
520,0
522,1
523,1
525,0
530,1
534,1
535,1
537,0
540,0
545,1
552,1
554,0
555,0
557,1
559,1
561,1
567,1
569,0
574,1
576,1
583,0
585,0
586,1
589,1
590,1
594,1
597,1
598,1
599,0
603,0
604,0
609,0
614,0
619,0
621,1
622,1
623,1
629,0
633,1
634,1
636,1
637,0
641,0
643,1
648,0
649,0
650,0
651,1
656,0
658,0
659,0
660,1
662,1
663,1
664,0
666,1
667,1
670,1
671,0
672,1
675,0
676,0
677,1
678,1
679,1
684,1
686,1
694,0
699,0
703,0
707,1
709,1
711,0
713,0
718,0
723,1
728,1
730,0
731,1
732,1
734,1
735,1
736,1
737,0
739,1
740,0
741,1
743,0
744,1
748,0
749,0
750,0
751,0
754,0
755,1
756,1
760,0
762,0
764,1
766,1
767,1
769,0
770,0
771,0
772,0
774,0
779,0
781,0
782,0
783,1
784,1
785,1
786,0
789,0
790,1
791,0
792,0
795,1
797,0
798,0
799,0
800,1
802,1
805,1
807,0
808,0
811,0
812,1
817,0
821,0
823,1
827,0
829,1
831,0
834,0
836,1
837,0
839,1
840,1
841,1
842,1
844,0
845,1
849,1
850,1
854,0
855,1
856,1
857,0
867,0
871,1
874,1
877,1
881,0
882,0
883,0
885,0
886,0
887,1
888,1
889,1
890,1
891,1
895,1
898,1
901,0
