PerNo,PerStatus
1,0
3,0
7,1
15,0
16,1
18,0
19,0
22,0
23,0
24,0
26,0
31,0
34,0
35,0
40,0
41,1
43,1
45,1
51,1
55,0
56,0
57,0
59,0
62,1
65,0
68,1
69,0
71,0
72,0
73,0
78,0
80,0
84,1
85,1
87,1
89,1
96,0
98,1
100,0
102,0
107,1
109,1
112,0
113,1
118,0
120,0
121,0
128,0
133,1
135,0
137,0
138,0
140,0
143,0
145,0
146,0
147,0
150,0
153,0
155,0
158,0
159,0
160,0
162,1
163,0
165,0
169,0
170,0
171,0
177,1
179,1
186,0
194,0
195,0
197,0
203,0
204,0
206,0
210,0
212,0
214,1
220,0
224,1
227,0
235,1
238,1
241,0
243,1
244,0
245,1
249,0
252,0
259,0
260,1
266,0
267,0
269,0
271,0
272,0
273,1
274,0
276,0
281,0
282,1
283,0
287,0
289,0
290,0
291,0
294,0
302,0
303,0
306,0
309,0
311,0
313,1
318,0
321,0
322,0
325,0
327,1
332,1
333,0
334,0
338,0
339,0
341,0
342,1
343,1
344,0
345,0
349,1
350,0
352,0
353,0
355,0
358,0
361,1
364,0
365,0
366,1
368,0
369,0
372,0
376,0
377,0
378,0
379,0
380,0
382,0
385,0
387,1
389,0
392,0
394,0
398,0
402,0
403,0
405,0
408,0
410,0
412,0
413,0
414,0
421,0
424,0
425,0
426,1
429,0
430,1
435,0
438,0
439,1
447,1
448,0
452,0
455,0
456,0
458,0
462,1
465,1
468,0
469,0
470,0
471,0
475,0
477,0
478,1
479,1
484,0
488,0
489,0
494,0
496,0
498,0
499,0
503,0
505,0
508,0
514,0
520,1
522,0
523,0
525,0
530,1
534,0
535,1
537,0
540,0
545,0
552,0
554,1
555,1
557,0
559,0
561,0
567,1
569,0
574,0
576,1
583,0
585,0
586,0
589,1
590,0
594,1
597,0
598,1
599,0
603,0
604,0
609,1
614,1
619,0
621,1
622,1
623,0
629,0
633,0
634,0
636,0
637,0
641,1
643,0
648,0
649,0
650,1
651,0
656,1
658,0
659,1
660,0
662,0
663,1
664,0
666,0
667,0
670,0
671,0
672,0
675,0
676,0
677,0
678,0
679,0
684,0
686,0
694,0
699,0
703,0
707,0
709,1
711,0
713,1
718,0
723,0
728,0
730,0
731,0
732,0
734,0
735,0
736,1
737,0
739,0
740,0
741,1
743,0
744,0
748,0
749,0
750,0
751,0
754,1
755,0
756,0
760,0
762,0
764,0
766,0
767,0
769,0
770,0
771,0
772,0
774,0
779,0
781,1
782,0
783,0
784,0
785,0
786,1
789,0
790,0
791,1
792,0
795,1
797,0
798,1
799,0
800,1
802,0
805,0
807,0
808,0
811,0
812,0
817,0
821,0
823,1
827,0
829,0
831,0
834,1
836,0
837,0
839,0
840,0
841,0
842,1
844,0
845,0
849,0
850,0
854,0
855,1
856,0
857,1
867,0
871,1
874,0
877,0
881,1
882,0
883,0
885,1
886,0
887,0
888,0
889,0
890,0
891,0
895,0
898,0
901,0
903,0
905,0
907,0
909,0
910,0
911,0
914,0
919,0
922,0
923,0
925,0
926,0
927,0
929,0
930,0
935,0
936,0
937,0
938,0
939,0
940,0
944,0
945,0
947,0
948,0
955,0
957,0
961,1
962,0
963,0
964,0
970,0
971,1
979,0
980,0
981,0
983,0
984,0
990,0
991,0
993,0
995,0
999,0
1002,0
1004,0
1005,0
1007,1
1008,0
1010,1
1011,0
1012,0
1013,0
1014,0
1016,0
1017,1
1018,0
1023,0
1026,0
1027,0
1029,1
1030,0
1032,0
1034,0
1035,1
1037,1
1039,0
1047,0
1048,0
1050,1
1053,0
1054,0
1056,1
1058,1
1060,0
1063,0
1066,0
1067,0
1068,0
1070,1
1071,0
1072,0
1075,1
1079,0
1080,0
1081,1
1083,0
1087,0
1088,0
1090,1
1093,1
1095,0
1102,0
1105,0
1109,0
1112,1
1113,1
1115,0
1117,0
1121,0
1123,0
1126,0
1128,0
1130,0
1131,0
1136,0
1138,0
1140,0
1141,0
1143,1
1145,0
1147,1
1153,0
1154,0
1155,0
1157,1
1161,0
1165,0
1167,0
1170,0
1171,0
1172,1
1173,0
1175,1
1177,1
1179,0
1180,0
1182,1
1184,0
1186,0
1188,0
1189,0
1192,0
1198,0
1200,1
1201,0
1203,0
1216,0
1219,0
1222,0
1224,0
1227,1
1228,0
1229,0
1230,0
1232,1
1233,0
1235,0
1236,0
1237,1
1239,0
1240,0
1242,0
1243,1
1244,0
1245,0
1250,0
1251,0
1254,0
1259,0
1261,0
1262,1
1264,1
1265,0
1268,0
1269,0
1271,1
1273,0
1275,0
1280,1
1286,1
1289,1
1292,1
1293,1
1294,0
1301,0
1303,0
1306,1
1308,0
1311,0
1316,1
1318,0
1319,0
1320,0
1323,1
1324,1
1325,0
1326,0
1328,1
1329,0
1331,1
1332,0
1334,0
1342,0
1344,0
1351,0
1353,0
1357,1
1359,1
1363,0
1364,0
1369,1
1371,0
1383,0
1384,1
1387,1
1391,0
1393,1
1396,1
1401,1
1403,0
1409,0
1411,0
1415,1
1417,0
1425,1
1428,0
1431,0
1437,0
1440,1
1441,0
1443,0
1445,0
1447,1
1450,1
1452,0
1455,0
1461,1
1462,0
1466,0
1470,1
1476,0
1479,0
1483,1
1486,0
1489,0
1491,0
1499,0
1502,0
1503,0
1504,0
1508,0
1509,0
1511,1
1512,0
1513,0
1516,1
1519,0
1522,0
1525,1
1528,0
1530,0
1533,0
1534,1
1535,1
1540,0
1542,0
1543,0
1544,0
1547,0
1548,0
1557,0
1560,0
1564,1
1566,0
1569,0
1572,0
1574,0
1580,0
1583,0
1584,0
1586,0
1587,0
1600,0
1601,1
1605,0
1607,0
1608,0
1609,0
1611,0
1613,1
1617,1
1627,0
1628,0
1630,0
1632,0
1638,0
1647,0
1649,1
1651,1
1652,1
1653,1
1655,0
1656,0
1660,0
1663,0
1666,0
1667,0
1668,0
1669,1
1670,0
1674,0
1675,0
1680,0
1685,0
1688,0
1691,0
1693,0
1694,0
1698,0
1705,1
1706,0
1709,0
1712,0
1713,0
1714,0
1716,1
1722,0
1724,0
1728,0
1729,0
1736,0
1738,0
1739,0
1741,0
1742,1
1743,0
1744,0
1745,1
1747,0
1748,0
1749,0
1750,0
1751,1
1755,0
1756,0
1757,0
1761,0
1766,0
1771,0
1775,0
1779,1
1782,1
1783,0
1784,0
1785,0
1786,0
1790,0
1793,0
1796,0
1797,0
1805,1
1806,0
1807,0
1809,0
1812,0
1813,0
1815,0
1817,0
1822,1
1824,0
1826,0
1828,1
1829,1
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,1
1841,0
1843,1
1845,1
1846,0
1847,1
1850,1
1851,0
1854,0
1855,1
1858,0
1859,0
1860,0
1863,0
1864,0
1872,0
1875,0
1879,0
1880,0
1882,0
1885,1
1891,0
1892,0
1893,0
1896,0
1897,0
1898,0
1901,1
1903,0
1904,0
1905,0
1906,0
1907,0
1908,1
1909,0
1910,0
1911,0
1913,1
1914,0
1915,0
1917,1
1920,0
1926,0
1927,0
1930,0
1931,0
1935,0
1940,0
1944,0
1946,0
1951,0
1953,0
1957,0
1959,1
1962,0
1964,0
1965,0
1966,0
1970,0
1971,1
1972,0
1974,1
1976,0
1978,0
1980,0
1981,0
1984,0
1986,0
1989,0
1991,0
1992,0
1993,0
1994,0
1996,0
1998,0
2001,1
2002,0
2013,0
2016,1
2017,0
2021,0
2022,0
2023,0
2024,1
2025,0
2027,1
2032,0
2034,0
2036,1
2039,0
2041,0
2043,0
2045,0
2049,0
2050,0
2058,0
2063,0
2064,0
2065,0
2066,1
2068,1
2072,0
2073,0
2074,0
2075,1
2076,1
2077,0
2078,1
2080,0
2085,0
2088,0
2091,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,1
2105,0
2106,0
2108,0
2109,0
2110,0
2113,1
2117,1
2118,0
2121,0
2122,1
2125,0
2129,1
2133,0
2134,0
2135,0
2137,0
2141,1
2143,0
2144,1
2145,0
2146,0
2148,0
2151,0
2152,1
2154,1
2156,0
2158,1
2159,0
2162,1
2164,0
2169,1
2176,0
2177,0
2178,0
2179,0
2181,0
2183,1
2190,1
2193,0
2194,0
2195,0
2196,0
2202,1
2206,1
2215,1
2216,1
2217,0
2218,0
2219,0
2220,0
2223,0
2224,0
2225,1
2227,0
2228,0
2234,0
2235,0
2237,0
2238,0
2245,1
2252,0
2253,1
2254,0
2255,0
2259,0
2260,0
2261,0
2262,0
2263,0
2265,0
2266,0
2268,0
2269,1
2271,0
2272,1
2282,0
2285,0
2286,0
2288,0
2291,0
2293,0
2294,0
2296,0
2298,0
2299,1
2300,0
2303,0
2305,0
2306,0
2311,0
2312,1
2313,0
2315,1
2316,0
2317,0
2318,0
2327,1
2329,0
2333,0
2334,0
2339,0
2341,1
2346,1
2349,0
2351,0
2353,0
2354,0
2356,0
2357,1
2360,0
2364,0
2365,0
2366,0
2369,0
2373,0
2374,0
2375,0
2377,0
2379,0
2383,1
2385,1
2389,0
2390,1
2395,0
2396,0
2399,0
2400,0
2401,0
2403,1
2404,1
2406,0
2408,0
2409,0
2411,0
2414,0
2415,0
2418,0
2419,1
2421,0
2423,0
2427,1
2430,0
2431,0
2433,1
2437,1
2439,0
2443,0
2444,0
2448,1
2450,0
2451,0
2454,0
2455,0
2458,0
2463,0
2465,1
2469,0
2471,1
2473,1
2474,1
2476,0
2477,0
2479,0
2486,0
2488,0
2490,0
2491,0
2492,0
2496,0
2498,1
2499,0
2502,0
2505,1
2506,0
2507,0
2509,0
2510,0
2515,0
2521,1
2525,1
2527,0
2529,0
2530,0
2531,0
2533,1
2535,0
2537,0
2538,1
2539,0
2541,0
2542,0
2543,0
2544,0
2547,0
2550,0
2551,0
2552,0
2555,0
2558,0
2561,0
2564,1
2567,0
2571,1
2574,0
2578,0
2580,0
2581,0
2582,0
2586,0
2588,1
2590,1
2591,0
2592,1
2594,0
2595,0
2596,0
2601,0
2603,0
2607,0
2608,0
2611,0
2613,1
2619,0
2620,0
2623,0
2624,0
2625,1
2626,0
2627,1
2629,0
2630,1
2632,0
2634,0
2638,0
2642,0
2643,0
2644,1
2647,0
2648,1
2650,0
2652,0
2657,0
2659,0
2663,0
2664,1
2665,0
2667,0
2668,1
2670,0
2672,0
2673,1
2674,1
2675,0
2677,0
2679,0
2690,0
2694,1
2698,0
2699,0
2701,1
2702,0
2703,0
2705,1
2707,0
2711,1
2714,0
2716,0
2723,1
2724,0
2725,0
2726,0
2727,0
2730,0
2731,0
2733,0
2736,0
2738,0
2739,0
2740,0
2742,0
2745,0
2746,0
2747,0
2750,0
2752,0
2754,1
2757,0
2760,0
2764,0
2765,0
2767,0
2770,1
2771,1
2774,0
2779,0
2786,0
2787,0
2790,0
2791,0
2797,0
2799,0
2803,0
2804,0
2807,1
2808,0
2809,0
2810,0
2813,0
2820,0
2824,0
2825,0
2826,0
2828,0
2831,1
2832,1
2833,1
2837,1
2838,0
2839,0
2841,0
2842,1
2843,0
2844,0
2846,0
2849,0
2851,0
2853,1
2857,0
2858,0
2860,1
2862,0
2863,0
2864,1
2865,0
2869,0
2873,0
2876,0
2880,0
2882,0
2886,0
2888,0
2894,0
2902,0
2906,0
2908,0
2909,0
2912,0
2913,0
2914,0
2919,0
2921,0
2923,0
2926,0
2927,1
2929,0
2931,1
2933,1
2934,0
2935,0
2938,0
2940,0
2945,1
2946,1
2949,0
2954,0
2960,1
2961,0
2963,0
2964,0
2966,1
2970,0
2973,0
2975,1
2979,0
2980,0
2981,0
2982,0
2987,0
2989,0
2991,0
2993,0
2995,0
2996,1
2997,0
3002,0
3003,0
3005,0
3008,0
3009,0
3011,0
3013,0
3016,0
3020,0
3021,0
3022,0
3023,1
3027,0
3028,0
3029,1
3031,0
3034,0
3041,0
3042,0
3044,1
3047,0
3049,0
3050,1
3051,0
3059,0
3060,1
3061,1
3063,0
3064,0
3066,1
3071,0
3074,0
3075,0
3076,0
3078,0
3079,0
3083,0
3085,0
3086,0
3087,0
3088,0
3092,0
3093,0
3095,0
3097,0
3098,0
3102,1
3109,1
3111,0
3114,0
3123,0
3125,1
3126,0
3129,0
3130,0
3131,0
3138,0
3140,0
3142,0
3146,0
3151,1
3152,0
3154,1
3159,0
3160,1
3161,0
3162,0
3165,0
3166,0
3171,0
3175,1
3176,1
3178,0
3179,0
3184,0
3186,0
3187,1
3190,0
3192,0
3193,0
3196,0
3198,0
3200,1
3201,0
3202,1
3204,0
3205,1
3206,0
3207,0
3208,0
3209,0
3212,0
3214,0
3221,0
3222,1
3225,0
3229,0
3231,1
3234,0
3237,0
3238,1
3239,0
3240,1
3241,0
3242,0
3246,0
3247,0
3251,0
3253,0
3254,0
3255,0
3257,0
3258,0
3259,0
3260,0
3261,0
3262,1
3263,0
3268,0
3269,0
3272,0
3273,0
3275,1
3278,0
3279,0
3283,0
3286,0
3288,0
3289,1
3294,0
3298,0
3299,0
3300,1
3301,0
3302,0
3303,0
3304,1
3307,1
3310,0
3311,0
3314,1
3318,1
3319,0
3320,0
3322,1
3325,0
3326,0
3327,0
3331,0
3333,0
3334,1
3338,0
3339,0
3340,0
3343,0
3344,0
3345,0
3352,0
3355,0
3357,0
3359,0
3360,1
3363,1
3364,0
3365,0
3367,0
3368,0
3369,1
3371,0
3373,1
3374,0
3375,0
3377,0
3378,1
3384,0
3388,0
3390,0
3393,1
3394,0
3397,0
3402,1
3404,0
3406,0
3409,1
3412,0
3413,0
3414,0
3415,0
3419,0
3420,0
3423,1
3431,0
3433,1
3440,0
3444,0
3445,0
3446,0
3448,0
3449,0
3450,0
3454,0
3455,1
3459,0
3462,0
3463,0
3464,0
3465,0
3468,0
3469,0
3476,1
3479,0
3481,0
3484,0
3488,1
3489,0
3492,0
3495,0
3497,0
3498,1
3499,1
3500,1
3501,0
3502,1
3503,0
3507,1
3510,0
3514,0
3515,0
3516,0
3520,0
3521,0
3524,0
3525,0
3526,0
3527,0
3528,0
3533,0
3534,1
3535,0
3536,0
3538,0
3541,0
3546,1
3549,0
3551,0
3552,0
3553,0
3556,0
3558,0
3559,0
3561,0
3563,0
3566,1
3574,0
3575,0
3578,1
3580,0
3582,1
3585,0
3588,0
3589,0
3593,0
3594,0
3595,1
3599,0
3600,1
3601,0
3603,0
3607,0
3608,0
3610,1
3611,0
3613,0
3615,0
3619,1
3620,0
3621,0
3625,0
3629,0
3630,0
3631,0
3632,0
3634,1
3635,0
3636,0
3638,0
3639,0
3641,0
3642,0
3643,0
3645,1
3658,0
3659,0
3660,0
3661,0
3664,0
3665,0
3667,0
3672,1
3673,0
3674,0
3676,0
3677,0
3682,0
3683,0
3684,0
3687,0
3691,1
3694,0
3696,1
3699,1
3705,1
3708,0
3709,0
3713,0
3714,1
3719,1
3721,0
3724,1
3726,0
3728,0
3729,0
3731,0
3732,0
3733,0
3734,0
3741,0
3742,0
3743,0
3745,0
3749,0
3751,0
3752,0
3758,0
3764,0
3767,0
3771,0
3772,0
3773,1
3774,0
3776,0
3779,0
3784,0
3785,0
3788,1
3789,0
3790,0
3793,1
3796,0
3797,0
3801,1
3804,0
3806,0
3808,0
3815,0
3816,0
3817,0
3818,0
3821,0
3822,1
3823,0
3825,0
3827,1
3828,0
3831,0
3832,1
3833,0
3834,1
3836,1
3838,1
3842,0
3845,0
3849,1
3851,0
3853,1
3855,0
3856,0
3858,0
3859,1
3860,0
3862,0
3864,0
3865,0
3866,0
3869,0
3870,0
3872,0
3873,0
3876,1
3878,0
3880,0
3884,0
3885,0
3888,0
3889,0
3893,0
3896,0
3899,0
3902,0
3904,0
3905,1
3906,1
3912,0
3916,0
3919,1
3921,1
3922,0
3925,0
3930,0
3931,1
3933,0
3934,0
3935,0
3936,0
3939,1
3948,1
3950,1
3951,0
3953,0
3955,0
3956,0
3959,1
3962,0
3965,0
3966,0
3969,0
3973,0
3975,0
3976,0
3983,0
3988,1
3989,0
