PerNo,PerStatus
1,1
3,0
7,1
15,0
16,0
18,0
19,0
22,0
23,1
24,1
26,1
31,1
34,0
35,1
40,0
41,0
43,1
45,0
51,1
55,0
56,0
57,0
59,1
62,0
65,1
68,0
69,1
71,1
72,0
73,0
78,0
80,0
84,1
85,1
87,1
89,1
96,1
98,1
100,1
102,0
107,0
109,0
112,0
113,0
118,0
120,0
121,0
128,0
133,1
135,0
137,1
138,0
140,0
143,1
145,0
146,0
147,1
150,0
153,0
155,1
158,1
159,1
160,1
162,0
163,1
165,1
169,1
170,0
171,0
177,0
179,0
186,0
194,0
195,0
197,1
203,0
204,0
206,0
210,0
212,0
214,1
220,1
224,0
227,1
235,1
238,0
241,0
243,1
244,0
245,0
249,0
252,0
259,1
260,1
266,0
267,0
269,0
271,0
272,0
273,0
274,1
276,1
281,0
282,0
283,0
287,0
289,0
290,0
291,0
294,0
302,0
303,0
306,0
309,1
311,0
313,0
318,1
321,0
322,1
325,1
327,1
332,0
333,0
334,0
338,0
339,0
341,0
342,0
343,0
344,0
345,0
349,0
350,1
352,0
353,0
355,1
358,0
361,1
364,0
365,0
366,1
368,0
369,1
372,0
376,0
377,0
378,0
379,0
380,1
382,0
385,0
387,1
389,0
392,0
394,1
398,1
402,0
403,1
405,0
408,1
410,1
412,0
413,1
414,0
421,0
424,0
425,0
426,0
429,1
430,1
435,0
438,0
439,0
447,0
448,0
452,1
455,0
456,1
458,0
462,1
465,1
468,0
469,0
470,0
471,1
475,0
477,0
478,0
479,0
484,1
488,0
489,1
494,0
496,0
498,0
499,0
503,1
505,0
508,1
514,0
520,1
522,1
523,0
525,0
530,0
534,1
535,1
537,0
540,1
545,0
552,0
554,1
555,0
557,0
559,1
561,1
567,0
569,0
574,0
576,1
583,1
585,1
586,1
589,1
590,0
594,1
597,0
598,0
599,0
603,1
604,0
609,0
614,0
619,0
621,0
622,0
623,0
629,0
633,0
634,0
636,0
637,0
641,0
643,0
648,0
649,0
650,0
651,1
656,1
658,0
659,0
660,0
662,0
663,0
664,1
666,0
667,0
670,1
671,0
672,0
675,0
676,0
677,1
678,0
679,0
684,0
686,0
694,0
699,0
703,0
707,1
709,0
711,0
713,0
718,0
723,0
728,1
730,0
731,1
732,0
734,1
735,0
736,1
737,0
739,1
740,0
741,1
743,1
744,0
748,0
749,0
750,1
751,0
754,0
755,0
756,1
760,1
762,0
764,0
766,0
767,0
769,0
770,0
771,0
772,0
774,1
779,0
781,0
782,0
783,0
784,0
785,0
786,0
789,0
790,0
791,1
792,1
795,0
797,0
798,1
799,1
800,1
802,0
805,0
807,0
808,1
811,1
812,0
817,0
821,0
823,0
827,1
829,1
831,0
834,1
836,0
837,0
839,0
840,0
841,0
842,0
844,1
845,0
849,0
850,1
854,1
855,1
856,0
857,0
867,1
871,1
874,0
877,0
881,0
882,0
883,1
885,0
886,0
887,0
888,0
889,0
890,0
891,0
895,0
898,0
901,1
903,0
905,0
907,0
909,0
910,0
911,0
914,1
919,0
922,1
923,1
925,1
926,0
927,1
929,0
930,0
935,1
936,0
937,0
938,0
939,0
940,0
944,0
945,0
947,1
948,0
955,1
957,0
961,1
962,0
963,0
964,1
970,1
971,0
979,0
980,0
981,0
983,0
984,0
990,0
991,0
993,0
995,0
999,0
1002,0
1004,1
1005,0
1007,0
1008,0
1010,1
1011,0
1012,1
1013,0
1014,1
1016,0
1017,1
1018,0
1023,0
1026,0
1027,1
1029,1
1030,1
1032,0
1034,0
1035,0
1037,0
1039,0
1047,0
1048,1
1050,0
1053,1
1054,1
1056,0
1058,1
1060,1
1063,0
1066,0
1067,0
1068,0
1070,1
1071,0
1072,0
1075,0
1079,0
1080,0
1081,0
1083,0
1087,1
1088,1
1090,0
1093,0
1095,0
1102,0
1105,0
1109,1
1112,0
1113,0
1115,1
1117,0
1121,0
1123,0
1126,0
1128,1
1130,0
1131,0
1136,0
1138,1
1140,0
1141,0
1143,1
1145,1
1147,0
1153,1
1154,0
1155,0
1157,1
1161,0
1165,1
1167,0
1170,1
1171,1
1172,1
1173,0
1175,0
1177,0
1179,0
1180,0
1182,1
1184,0
1186,1
1188,1
1189,0
1192,0
1198,1
1200,0
1201,0
1203,0
1216,0
1219,0
1222,1
1224,1
1227,0
1228,0
1229,0
1230,0
1232,0
1233,1
1235,1
1236,1
1237,1
1239,0
1240,0
1242,0
1243,1
1244,0
1245,0
1250,0
1251,0
1254,1
1259,0
1261,0
1262,1
1264,1
1265,0
1268,0
1269,1
1271,0
1273,0
1275,0
1280,1
1286,0
1289,1
1292,0
1293,1
1294,0
1301,0
