PerNo,PerStatus
1,0
3,0
7,1
15,0
16,1
18,0
19,0
22,0
23,0
24,0
26,0
31,1
34,1
35,0
40,1
41,0
43,1
45,0
51,1
55,0
56,0
57,0
59,1
62,0
65,0
68,0
69,0
71,1
72,1
73,1
78,0
80,0
84,0
85,1
87,1
89,1
96,1
98,1
100,0
102,1
107,0
109,1
112,0
113,0
118,0
120,0
121,0
128,0
133,1
135,0
137,1
138,0
140,0
143,1
145,1
146,0
147,1
150,0
153,0
155,1
158,0
159,0
160,1
162,1
163,0
165,1
169,0
170,0
171,1
177,0
179,1
186,0
194,0
195,0
197,1
203,0
204,1
206,1
210,0
212,0
214,1
220,0
224,1
227,0
235,0
238,0
241,1
243,1
244,0
245,1
249,1
252,1
259,0
260,1
266,0
267,0
269,0
271,0
272,0
273,1
274,0
276,0
281,0
282,0
283,1
287,1
289,0
290,0
291,1
294,0
302,0
303,1
306,0
309,1
311,0
313,0
318,1
321,0
322,0
325,1
327,1
332,0
333,0
334,0
338,0
339,1
341,0
342,1
343,0
344,0
345,0
349,1
350,1
352,0
353,0
355,0
358,0
361,0
364,0
365,0
366,1
368,0
369,0
372,0
376,0
377,0
378,0
379,0
380,0
382,0
385,0
387,1
389,0
392,0
394,1
398,1
402,0
403,0
405,0
408,0
410,0
412,0
413,1
414,1
421,1
424,0
425,0
426,1
429,1
430,0
435,0
438,0
439,0
447,0
448,0
452,0
455,0
456,1
458,1
462,1
465,0
468,0
469,0
470,0
471,0
475,0
477,0
478,0
479,1
484,0
488,0
489,1
494,0
496,0
498,1
499,0
503,1
505,0
508,1
514,0
520,1
522,0
523,0
525,0
530,0
534,1
535,1
537,1
540,1
545,0
552,1
554,0
555,1
557,0
559,0
561,1
567,1
569,0
574,0
576,1
583,0
585,1
586,0
589,0
590,0
594,1
597,0
598,0
599,0
603,1
604,0
609,1
614,0
619,0
621,1
622,1
623,0
629,0
633,1
634,1
636,0
637,0
641,0
643,0
648,1
649,1
650,1
651,0
656,0
658,1
659,0
660,1
662,0
663,1
664,0
666,1
667,1
670,1
671,0
672,0
675,0
676,0
677,0
678,1
679,0
684,0
686,1
694,0
699,0
703,0
707,0
709,1
711,0
713,0
718,0
723,0
728,1
730,0
731,1
732,1
734,0
735,0
736,1
737,0
739,0
740,0
741,0
743,0
744,0
748,0
749,0
750,0
751,0
754,0
755,0
756,0
760,1
762,0
764,0
766,0
767,0
769,0
770,1
771,0
772,0
774,0
779,0
781,0
782,0
783,0
784,0
785,0
786,1
789,1
790,0
791,1
792,1
795,0
797,0
798,1
799,0
800,1
802,0
805,0
807,1
808,0
811,1
812,0
817,0
821,0
823,1
827,0
829,0
831,1
834,1
836,0
837,1
839,0
840,0
841,0
842,1
844,0
845,0
849,0
850,0
854,0
855,0
856,0
857,0
867,1
871,1
874,1
877,0
881,1
882,1
883,0
885,0
886,1
887,0
888,0
889,1
890,1
891,0
895,1
898,0
901,1
903,1
905,0
907,1
909,1
910,0
911,1
914,1
919,0
922,1
923,0
925,0
926,0
927,0
929,0
930,0
935,1
936,0
937,0
938,0
939,0
940,0
944,0
945,0
947,0
948,1
955,1
957,1
961,1
962,0
963,0
964,0
970,0
971,0
979,0
980,0
981,0
983,0
984,0
990,1
991,0
993,0
995,1
999,1
1002,0
1004,1
1005,0
1007,1
1008,0
1010,1
1011,0
1012,1
1013,0
1014,1
1016,1
1017,1
1018,0
1023,0
1026,0
1027,1
1029,1
1030,0
1032,0
1034,0
1035,1
1037,1
1039,0
1047,0
1048,1
1050,0
1053,0
1054,1
1056,0
1058,1
1060,1
1063,0
1066,0
1067,0
1068,1
1070,0
1071,0
1072,0
1075,0
1079,0
1080,1
1081,0
1083,0
1087,1
1088,0
1090,1
1093,1
1095,0
1102,0
1105,0
1109,1
1112,1
1113,0
1115,0
1117,0
1121,0
1123,1
1126,0
1128,0
1130,0
1131,0
1136,1
1138,0
1140,0
1141,0
1143,1
1145,1
1147,0
1153,1
1154,0
1155,1
1157,1
1161,1
1165,1
1167,1
1170,0
1171,1
1172,0
1173,0
1175,1
1177,0
1179,1
1180,0
1182,0
1184,0
1186,1
1188,1
1189,0
1192,0
1198,0
1200,1
1201,0
1203,0
1216,0
1219,0
1222,1
1224,0
1227,1
1228,1
1229,0
1230,0
1232,0
1233,1
1235,1
1236,0
1237,1
1239,0
1240,0
1242,0
1243,1
1244,1
1245,1
1250,0
1251,0
1254,1
1259,0
1261,0
1262,0
1264,1
1265,1
1268,0
1269,0
1271,0
1273,0
1275,0
1280,1
1286,1
1289,1
1292,0
1293,0
1294,0
1301,0
1303,1
1306,1
1308,0
1311,1
1316,0
1318,1
1319,0
1320,0
1323,0
1324,1
1325,0
1326,0
1328,1
1329,1
1331,1
1332,0
1334,1
1342,0
1344,0
1351,0
1353,0
1357,1
1359,1
1363,1
1364,1
1369,0
1371,0
1383,0
1384,0
1387,0
1391,1
1393,0
1396,0
1401,0
1403,1
1409,0
1411,1
1415,1
1417,1
1425,1
1428,0
1431,0
1437,0
1440,1
1441,1
1443,1
1445,0
1447,1
1450,1
1452,0
1455,0
1461,1
1462,0
1466,0
1470,1
1476,0
1479,1
1483,1
1486,1
1489,0
1491,1
1499,0
1502,1
1503,1
1504,1
1508,0
1509,1
1511,1
1512,1
1513,1
1516,0
1519,1
1522,0
1525,1
1528,1
1530,0
1533,0
1534,1
1535,1
1540,0
1542,1
1543,0
1544,0
1547,1
1548,0
1557,0
1560,0
1564,1
1566,1
1569,1
1572,0
1574,1
1580,0
1583,0
1584,0
1586,0
1587,1
1600,0
1601,1
1605,1
1607,0
1608,0
1609,0
1611,0
1613,0
1617,1
1627,0
1628,0
1630,0
1632,1
1638,0
1647,0
1649,0
1651,1
1652,1
1653,1
1655,1
1656,1
1660,0
1663,0
1666,1
1667,1
1668,0
1669,0
1670,0
1674,0
1675,0
1680,0
1685,0
1688,0
1691,0
1693,1
1694,0
1698,0
1705,1
1706,0
1709,1
1712,0
1713,1
1714,1
1716,0
1722,0
1724,0
1728,0
1729,1
1736,0
1738,1
1739,0
1741,0
1742,1
1743,1
1744,0
1745,0
1747,0
1748,0
1749,0
1750,0
1751,1
1755,0
1756,1
1757,0
1761,0
1766,0
1771,1
1775,0
1779,1
1782,1
1783,0
1784,0
1785,0
1786,0
1790,0
1793,0
1796,0
1797,0
1805,0
1806,0
1807,0
1809,1
1812,1
1813,1
1815,0
1817,0
1822,0
1824,0
1826,0
1828,1
1829,0
1831,0
1832,1
1833,1
1834,0
1835,1
1836,0
1837,1
1838,1
1839,0
1840,0
1841,0
1843,1
1845,1
1846,1
1847,0
1850,1
1851,0
1854,1
1855,0
1858,0
1859,1
1860,0
1863,1
1864,0
1872,0
1875,0
1879,0
1880,1
1882,0
1885,1
1891,0
1892,0
1893,0
1896,1
1897,1
1898,0
1901,1
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1913,1
1914,0
1915,0
1917,1
1920,0
1926,0
1927,0
1930,1
1931,0
1935,0
1940,0
1944,0
1946,0
1951,0
1953,1
1957,0
1959,1
1962,1
1964,0
1965,0
1966,0
1970,1
1971,0
1972,0
1974,1
1976,0
1978,0
1980,0
1981,0
1984,0
1986,1
1989,0
1991,0
1992,0
1993,0
1994,0
1996,0
1998,0
2001,1
2002,1
2013,0
2016,0
2017,0
2021,0
2022,0
2023,0
2024,1
2025,1
2027,1
2032,0
2034,0
2036,1
2039,1
2041,0
2043,0
2045,1
2049,0
2050,0
2058,0
2063,0
2064,0
2065,0
2066,1
2068,1
2072,0
2073,0
2074,1
2075,1
2076,0
2077,0
2078,0
2080,1
2085,0
2088,0
2091,0
2095,1
2096,0
2097,0
2098,0
2099,1
2100,1
2101,0
2105,0
2106,0
2108,0
2109,0
2110,0
2113,0
2117,0
2118,0
2121,0
2122,1
2125,0
2129,1
2133,0
2134,0
2135,0
2137,1
2141,1
2143,0
2144,0
2145,1
2146,0
2148,0
2151,0
2152,0
2154,1
2156,0
2158,1
2159,0
2162,1
2164,0
2169,0
2176,0
2177,1
2178,0
2179,0
2181,0
2183,1
2190,0
2193,0
2194,1
2195,0
2196,0
2202,0
2206,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2223,0
2224,1
2225,0
2227,1
2228,0
2234,0
2235,0
2237,0
2238,0
2245,1
2252,0
2253,1
2254,0
2255,0
2259,0
2260,1
2261,1
2262,0
2263,0
2265,0
2266,1
2268,1
2269,1
2271,0
2272,1
2282,0
2285,0
2286,0
2288,0
2291,0
2293,1
2294,1
2296,0
2298,1
2299,0
2300,0
2303,0
2305,0
2306,0
2311,0
2312,0
2313,1
2315,0
2316,0
2317,0
2318,1
2327,0
2329,1
2333,0
2334,0
2339,1
2341,0
2346,0
2349,0
2351,0
2353,1
2354,0
2356,0
2357,1
2360,0
2364,1
2365,1
2366,0
2369,0
2373,0
2374,0
2375,1
2377,1
2379,1
2383,1
2385,1
2389,0
2390,1
2395,0
2396,1
2399,0
2400,0
2401,0
2403,1
2404,0
2406,0
2408,0
2409,1
2411,1
2414,1
2415,1
2418,1
2419,0
2421,0
2423,0
2427,1
2430,0
2431,0
2433,1
2437,0
2439,0
2443,0
2444,0
2448,1
2450,0
2451,0
2454,0
2455,0
2458,1
2463,0
2465,1
2469,1
2471,1
2473,1
2474,1
2476,0
2477,0
2479,0
2486,0
2488,0
2490,0
2491,0
2492,1
2496,0
2498,1
2499,1
2502,1
2505,0
2506,0
2507,0
2509,0
2510,0
2515,0
2521,1
2525,1
2527,1
2529,0
2530,1
2531,0
2533,0
2535,0
2537,0
2538,0
2539,0
2541,0
2542,1
2543,0
2544,0
2547,0
2550,0
2551,1
2552,0
2555,0
2558,0
2561,1
2564,1
2567,0
2571,0
2574,0
2578,1
2580,1
2581,0
2582,0
2586,0
2588,1
2590,1
2591,0
2592,0
2594,0
2595,1
2596,0
2601,1
2603,0
2607,0
2608,0
2611,0
2613,0
2619,0
2620,1
2623,0
2624,0
2625,1
2626,0
2627,0
2629,1
2630,0
2632,0
2634,0
2638,0
2642,0
2643,1
2644,0
2647,0
2648,1
2650,0
2652,1
2657,0
2659,0
2663,0
2664,1
2665,1
2667,0
2668,0
2670,1
2672,1
2673,1
2674,1
2675,1
2677,1
2679,0
2690,0
2694,0
2698,0
2699,0
2701,1
2702,0
2703,1
2705,0
2707,1
2711,0
2714,0
2716,0
2723,0
2724,1
2725,0
2726,0
2727,0
2730,0
2731,0
2733,0
2736,0
2738,1
2739,0
2740,0
2742,0
2745,1
2746,1
2747,1
2750,0
2752,0
2754,0
2757,0
2760,0
2764,0
2765,0
2767,1
2770,0
2771,1
2774,0
2779,1
2786,1
2787,0
2790,0
2791,0
2797,0
2799,0
2803,0
2804,0
2807,1
2808,0
2809,1
2810,0
2813,0
2820,1
2824,0
2825,1
2826,0
2828,1
2831,0
2832,0
2833,0
2837,1
2838,0
2839,0
2841,1
2842,1
2843,1
2844,1
2846,0
2849,0
2851,1
2853,1
2857,0
2858,0
2860,1
2862,0
2863,1
2864,1
2865,0
2869,0
2873,1
2876,1
2880,1
2882,0
2886,0
2888,1
2894,0
2902,0
2906,1
2908,0
2909,0
2912,0
2913,0
2914,0
2919,0
2921,0
2923,1
2926,0
2927,0
2929,0
2931,1
2933,1
2934,1
2935,1
2938,1
2940,0
2945,0
2946,0
2949,0
2954,0
2960,0
2961,0
2963,0
2964,0
2966,1
2970,0
2973,0
2975,1
2979,0
2980,0
2981,0
2982,0
2987,0
2989,0
2991,0
2993,0
2995,1
2996,1
2997,0
3002,1
3003,0
3005,0
3008,1
3009,1
3011,0
3013,1
3016,1
3020,1
3021,0
3022,0
3023,0
3027,1
3028,0
3029,0
3031,1
3034,1
3041,0
3042,1
3044,1
3047,0
3049,0
3050,1
3051,0
3059,0
3060,1
3061,0
3063,0
3064,1
3066,0
3071,0
3074,1
3075,0
3076,0
3078,0
3079,0
3083,1
3085,1
3086,1
3087,1
3088,0
3092,0
3093,0
3095,0
3097,0
3098,0
3102,0
3109,0
3111,1
3114,0
3123,0
3125,1
3126,0
3129,1
3130,0
3131,0
3138,1
3140,0
3142,1
3146,0
3151,1
3152,1
3154,0
3159,1
3160,0
3161,1
3162,0
3165,0
3166,0
3171,1
3175,0
3176,0
3178,1
3179,0
3184,1
3186,1
3187,0
3190,0
3192,1
3193,0
3196,1
3198,1
3200,1
3201,1
3202,1
3204,0
3205,1
3206,0
3207,0
3208,0
3209,1
3212,1
3214,0
3221,1
3222,1
3225,1
3229,1
3231,1
3234,0
3237,0
3238,1
3239,0
3240,0
3241,1
3242,0
3246,0
3247,0
3251,0
3253,0
3254,0
3255,0
3257,0
3258,0
3259,0
3260,1
3261,1
3262,0
3263,0
3268,0
3269,0
3272,0
3273,0
3275,1
3278,1
3279,0
3283,0
3286,1
3288,0
3289,1
3294,1
3298,0
3299,0
3300,1
3301,1
3302,0
3303,1
3304,1
3307,1
3310,0
3311,0
3314,1
3318,0
3319,1
3320,0
3322,0
3325,1
3326,0
3327,0
3331,1
3333,1
3334,0
3338,0
3339,0
3340,0
3343,0
3344,0
3345,1
3352,0
3355,0
3357,0
3359,0
3360,1
3363,0
3364,0
3365,1
3367,0
3368,0
3369,0
3371,0
3373,1
3374,0
3375,0
3377,0
3378,0
3384,0
3388,1
3390,1
3393,1
3394,1
3397,0
3402,0
3404,0
3406,0
3409,1
3412,0
3413,1
3414,1
3415,1
3419,1
3420,0
3423,1
3431,0
3433,1
3440,0
3444,0
3445,0
3446,0
3448,1
3449,0
3450,0
3454,1
3455,0
3459,1
3462,0
3463,1
3464,1
3465,1
3468,0
3469,0
3476,1
3479,1
3481,1
3484,0
3488,0
3489,0
3492,0
3495,0
3497,1
3498,1
3499,1
3500,0
3501,0
3502,1
3503,0
3507,1
3510,1
3514,1
3515,0
3516,0
3520,1
3521,0
3524,1
3525,1
3526,0
3527,0
3528,0
3533,0
3534,0
3535,1
3536,0
3538,0
3541,0
3546,0
3549,0
3551,0
3552,0
3553,1
3556,0
3558,0
3559,1
3561,1
3563,1
3566,0
3574,1
3575,0
3578,1
3580,0
3582,0
3585,0
3588,1
3589,1
3593,0
3594,0
3595,1
3599,0
3600,1
3601,1
3603,0
3607,1
3608,1
3610,0
3611,0
3613,0
3615,0
3619,0
3620,0
3621,0
3625,0
3629,0
3630,0
3631,0
3632,1
3634,1
3635,0
3636,1
3638,1
3639,0
3641,0
3642,0
3643,0
3645,1
3658,0
3659,0
3660,0
3661,1
3664,0
3665,0
3667,0
3672,1
3673,0
3674,0
3676,0
3677,0
3682,0
3683,0
3684,0
3687,0
3691,0
3694,0
3696,1
3699,1
3705,1
3708,0
3709,0
3713,1
3714,0
3719,0
3721,0
3724,1
3726,0
3728,0
3729,0
3731,0
3732,1
3733,0
3734,0
3741,0
3742,1
3743,0
3745,1
3749,0
3751,0
3752,1
3758,0
3764,1
3767,0
3771,1
3772,1
3773,1
3774,0
3776,0
3779,0
3784,1
3785,0
3788,1
3789,0
3790,1
3793,0
3796,0
3797,0
3801,0
3804,0
3806,0
3808,0
3815,1
3816,0
3817,0
3818,0
3821,1
3822,0
3823,0
3825,0
3827,0
3828,0
3831,0
3832,0
3833,1
3834,1
3836,1
3838,0
3842,1
3845,1
3849,1
3851,0
3853,0
3855,0
3856,0
3858,0
3859,0
3860,0
3862,1
3864,0
3865,1
3866,1
3869,0
3870,0
3872,1
3873,1
3876,1
3878,0
3880,1
3884,0
3885,0
3888,1
3889,0
3893,0
3896,0
3899,0
3902,0
3904,0
3905,1
3906,0
3912,0
3916,0
3919,1
3921,1
3922,0
3925,1
3930,0
3931,1
3933,0
3934,0
3935,0
3936,0
3939,1
3948,0
3950,1
3951,1
3953,0
3955,0
3956,1
3959,1
3962,0
3965,0
3966,1
3969,0
3973,1
3975,0
3976,0
3983,0
3988,0
3989,0
